eventid,iyear,imonth,iday,provstate,city,latitude,longitude,vicinity,crit1,crit2,crit3,doubtterr,alternative_txt,multiple,success,suicide,attacktype1_txt,attacktype2_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,targsubtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,targsubtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gsubname2,individual,nperps,nperpcap,claimed,claimmode_txt,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weapsubtype2_txt,weaptype3_txt,weapsubtype3_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent_txt,ishostkid,nhostkid,nhostkidus,nhours,ransom,hostkidoutcome,hostkidoutcome_txt,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,Twitter
201606090034,2016,6,9,New York,New York City,40.628247,-74.079766,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Unknown,First Central Baptist Church,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201606120001,2016,6,12,Florida,Orlando,28.519601,-81.376794,0,1,1,1,0,,0,1,0,Hostage Taking (Barricade Incident),Armed Assault,Business,Entertainment/Cultural/Stadium/Casino,Pulse Nightclub,Nightclub,United States,Private Citizens & Property,Judge/Attorney/Court,Not Applicable,Civilians,Multinational,,,,,,Jihadi-inspired extremists,,,1,1,0,1,Personal claim,Firearms,Automatic Weapon,Firearms,Handgun,,,50,44,1,53,48,0,1,Minor (likely < $1 million),1,-99,-99,3,0,6,Combination,-99,-9,-9,1,1,1
201606180037,2016,6,18,Nevada,Las Vegas,36.124745,-115.172081,0,1,1,1,0,,0,0,0,Assassination,,Private Citizens & Property,Political Party Member/Rally,Republican Party (GOP),Presidential Candidate: Donald Trump,United States,,,,,,,,,,,Anti-Trump extremists,,,1,1,1,1,Personal claim,Firearms,Handgun,,,,,0,0,0,0,0,0,0,,0,,,,,,,,-9,-9,0,-9,0
201607040048,2016,7,4,Missouri,St. Louis,38.656298,-90.413024,0,1,1,1,0,,0,0,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Temple Israel House,Former Synagogue,United States,,,,,,,,,,,Black Hebrew Israelites,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607050044,2016,7,5,Missouri,St. Louis,38.70333,-90.248796,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Greater St. Paul Missionary Baptist Church,Church,United States,,,,,,,,,,,Black Hebrew Israelites,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607070001,2016,7,7,Texas,Dallas,32.779578,-96.804259,0,1,1,1,0,,0,1,0,Armed Assault,,Police,Police Security Forces/Officers,Dallas Police Department,Officers,United States,,,,,,,,,,,Anti-White extremists,,,1,1,0,1,Personal claim,Firearms,Automatic Weapon,Firearms,Handgun,,,6,6,1,9,9,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,1
201607070016,2016,7,7,Tennessee,Bristol,36.58886,-82.185961,0,1,1,1,0,,0,1,0,Armed Assault,,Police,Police Security Forces/Officers,Tennessee State Police,Officers,United States,Private Citizens & Property,Judge/Attorney/Court,Not Applicable,Civilians,United States,,,,,,Anti-Police extremists,,,1,1,1,1,Personal claim,Firearms,Automatic Weapon,Firearms,Handgun,,,1,1,0,4,4,1,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607070018,2016,7,7,Texas,College Station,30.62228,-96.347518,0,1,1,1,0,,0,1,0,Armed Assault,,Religious Figures/Institutions,Affiliated Institution,Unknown,Islamic Community Center,United States,,,,,,,,,,,Anti-Muslim extremists,,,0,1,0,0,,Firearms,Unknown Gun Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607090022,2016,7,9,Texas,San Antonio,29.422977,-98.498591,0,0,1,1,1,Other Crime Type,0,1,0,Armed Assault,,Police,"Police Building (headquarters, station, school)",San Antonio City Police,Police Station,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Firearms,Unknown Gun Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607170005,2016,7,17,Louisiana,Baton Rouge,30.433483,-91.080857,0,1,1,1,0,,0,1,0,Armed Assault,,Police,Police Security Forces/Officers,Baton Rouge City Police,Officers,United States,,,,,,,,,,,Anti-Police extremists,,,1,1,0,0,,Firearms,Handgun,Firearms,Rifle/Shotgun (non-automatic),,,4,4,1,3,3,0,0,,0,,,,,,,,-9,-9,0,-9,1
201607170022,2016,7,17,Florida,Daytona Beach,29.200533,-81.034508,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Police,Police Patrol (including vehicles and convoys),Daytona Beach Police Department (DBPD),Vehicle,United States,,,,,,,,,,,Anti-Police extremists,,,0,1,0,1,Note left at scene,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607180070,2016,7,17,Florida,Tampa,28.011485,-82.373941,0,1,1,1,1,Lack of Intentionality,0,1,0,Facility/Infrastructure Attack,,Educational Institution,School/University/Educational Building,Islamic Education Center,Education Center,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607250048,2016,7,25,Nevada,Las Vegas,36.162257,-115.138854,0,1,1,1,0,,1,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Unknown,Mormon Church,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607250049,2016,7,25,Nevada,Las Vegas,36.162665,-115.139832,0,1,1,1,0,,1,1,0,Facility/Infrastructure Attack,,Other,Fire Fighter/Truck,Las Vegas Fire and Rescue Department (LVFRD),Union Hall,United States,,,,,,,,,,,Unknown,,,0,1,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607270058,2016,7,27,Florida,Tampa,27.987652,-82.550249,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Educational Institution,School/University/Educational Building,Islamic Education Center,Education Center,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201607310050,2016,7,31,Iowa,Oskaloosa,41.291673,-92.649359,1,1,1,1,0,,1,1,0,Facility/Infrastructure Attack,,Utilities,Oil,Dakota Access LLC,Construction Site of Dakota Access Oil Pipeline,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201608010027,2016,8,1,Iowa,Newton,41.703318,-93.057353,1,1,1,1,0,,1,1,0,Facility/Infrastructure Attack,,Utilities,Oil,Energy Transfer Partners,Dakota Access Oil Pipeline Construction Site,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201608010028,2016,8,1,Iowa,Reasnor,41.577354,-93.024003,1,1,1,1,0,,1,1,0,Facility/Infrastructure Attack,,Utilities,Oil,Energy Transfer Partners,Dakota Access Oil Pipeline Construction Site,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201608040052,2016,8,4,Florida,Tampa,28.032289,-82.408025,0,1,1,1,1,Lack of Intentionality,1,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Masjid Omar Mosque,Mosque,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Gasoline or Alcohol,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201608050054,2016,8,5,Florida,Tampa,28.032289,-82.408025,0,1,1,1,0,,1,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Masjid Omar Mosque,Mosque,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Gasoline or Alcohol,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201608090043,2016,8,9,New York,New City,41.166236,-73.991496,0,1,1,1,0,,1,1,0,Bombing/Explosion,,Religious Figures/Institutions,Religious Figure,Unknown,Rabbi: Avremel Kotlarsky,United States,,,,,,,,,,,Unknown,,,0,4,0,0,,Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201608090044,2016,8,9,New York,New City,41.162402,-74.004905,0,1,1,1,0,,1,1,0,Bombing/Explosion,,Religious Figures/Institutions,Religious Figure,Unknown,Rabbi: Simcha Morgenstern,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Explosives/Bombs/Dynamite,Other Explosive Type,,,,,0,0,0,0,0,0,-9,,0,,,,,,,,-9,-9,0,-9,0
201608100099,2016,8,10,New York,Endicott,42.095085,-76.059599,0,0,1,1,1,Other Crime Type,0,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,House/Apartment/Residence,Not Applicable,House,United States,,,,,,,,,,,Unknown,,,1,1,1,0,,Incendiary,Gasoline or Alcohol,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201608130021,2016,8,13,New York,New York City,40.6794,-73.858592,0,0,1,1,1,Other Crime Type,0,1,0,Armed Assault,,Religious Figures/Institutions,Religious Figure,Unknown,Imam: Maulama Akonjee,United States,Private Citizens & Property,Judge/Attorney/Court,Not Applicable,Civilian: Thara Uddin,United States,,,,,,Unknown,,,1,1,1,0,,Firearms,Unknown Gun Type,,,,,2,,0,0,0,0,0,,0,,,,,,,,-9,-9,0,-9,0
201608200042,2016,8,20,Virginia,Roanoke,37.27097,-79.941427,0,1,1,1,1,Lack of Intentionality,0,1,0,Armed Assault,,Private Citizens & Property,Unnamed Civilian/Unspecified,Not Applicable,Civilians,United States,,,,,,,,,,,Unknown,,,1,1,1,0,,Melee,Knife or Other Sharp Object,,,,,0,0,0,3,2,1,0,,0,,,,,,,,-9,-9,0,-9,0
201608230025,2016,8,23,Massachusetts,Salem,42.521477,-70.895532,0,1,1,1,0,,0,1,0,Bombing/Explosion,,Journalists & Media,Newspaper Journalist/Staff/Facility,Rainbow Times,Newspaper Box,United States,,,,,,,,,,,Unknown,,,0,7,0,0,,Explosives/Bombs/Dynamite,Unknown Explosive Type,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201609020055,2016,9,2,Nevada,Las Vegas,36.197294,-115.131528,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Holy Trinity African Methodist Episcopal Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201609120001,2016,9,12,Florida,Fort Pierce,27.374522,-80.337837,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Islamic Center of Fort Pierce,Mosque,United States,,,,,,,,,,,Anti-Muslim extremists,,,1,1,1,1,Personal claim,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Unknown,0,,,,,,,,-9,-9,0,-9,0
201609160002,2016,9,16,Pennsylvania,Philadelphia,39.957495,-75.222965,0,0,1,1,1,Other Crime Type,0,1,0,Armed Assault,,Police,Police Security Forces/Officers,Philadelphia City Police,Officer: Sergeant Sylvia Young,United States,Police,Bank/Commerce,University of Pennsylvania Police Department (UPPD),Officer: Edward Miller,United States,Private Citizens & Property,Unnamed Civilian/Unspecified,Not Applicable,Civilians,United States,Anti-Police extremists,,,1,1,0,1,Note left at scene,Firearms,Automatic Weapon,,,,,2,2,1,5,5,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,1
201609170001,2016,9,17,New Jersey,Seaside Park,39.925457,-74.074757,0,1,1,1,0,,1,1,0,Bombing/Explosion,,Private Citizens & Property,"Procession/Gathering (funeral, wedding, birthday, religious)",Seaside Semper Five Marine Corps Charity 5K,Charity Race,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,1,1,Note left at scene,Explosives/Bombs/Dynamite,Remote Trigger,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,1
201609170002,2016,9,17,New York,New York City,40.743378,-73.993733,0,1,1,1,0,,1,1,0,Bombing/Explosion,,Private Citizens & Property,Unnamed Civilian/Unspecified,Not Applicable,Civilians,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,1,1,Note left at scene,Explosives/Bombs/Dynamite,Remote Trigger,,,,,0,0,0,29,29,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,1
201609170003,2016,9,17,New York,New York City,40.746111,-73.992576,0,1,1,1,0,,1,0,0,Bombing/Explosion,,Private Citizens & Property,Unnamed Civilian/Unspecified,Not Applicable,Civilians,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,1,1,Note left at scene,Explosives/Bombs/Dynamite,Remote Trigger,,,,,0,0,0,0,0,0,0,,0,,,,,,,,-9,-9,0,-9,1
201609170004,2016,9,17,Minnesota,St. Cloud,45.555575,-94.210178,0,1,1,1,0,,0,1,0,Armed Assault,,Business,Retail/Grocery/Bakery,Crossroads Center Shopping Mall,Shopping Mall,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,0,0,,Melee,Knife or Other Sharp Object,,,,,1,1,1,10,10,0,0,,0,,,,,,,,-9,-9,0,-9,1
201609180001,2016,9,18,New Jersey,Elizabeth,40.666781,-74.215785,0,1,1,1,0,,1,1,0,Bombing/Explosion,,Transportation,Train/Train Tracks/Trolley,New Jersey Transit Corporation,Elizabeth Train Station,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,1,1,Note left at scene,Explosives/Bombs/Dynamite,Remote Trigger,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,1
201609240025,2016,9,24,Missouri,Kansas City,39.099432,-94.578029,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Islamic Center of Northland,Mosque,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201610030040,2016,10,3,Nebraska,Lincoln,40.846274,-96.700467,0,1,1,1,0,,1,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Belmont Baptist Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201610030060,2016,10,3,Nebraska,Lincoln,40.846244,-96.700429,0,1,1,1,0,,1,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Belmont Baptist Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201610040058,2016,10,4,Indiana,Indianapolis,39.825657,-86.227067,0,1,1,1,0,,0,1,0,Armed Assault,,Police,"Police Building (headquarters, station, school)",Indianapolis Metropolitan Police Department,Headquarters,United States,,,,,,,,,,,Anti-White extremists,,,0,1,1,1,Note left at scene,Firearms,Automatic Weapon,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201610090043,2016,10,9,Florida,Century,30.963733,-87.267362,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Wesley Chapel Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Unknown,0,,,,,,,,-9,-9,0,-9,0
201610130052,2016,10,13,Indiana,Indianapolis,39.826113,-86.227124,0,1,1,1,0,,0,1,0,Armed Assault,,Police,"Police Building (headquarters, station, school)",Indianapolis Metropolitan Police Department,Headquarter,United States,,,,,,,,,,,Anti-White extremists,,,1,1,1,1,Note left at scene,Firearms,Automatic Weapon,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201610150013,2016,10,15,Iowa,Reasnor,41.578663,-93.022688,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Business,Gas/Oil,Dakota Access LLC,Oil Pipeline Construction Equipment,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Major (likely > $1 million but < $1 billion),0,,,,,,,,-9,-9,0,-9,0
201610160022,2016,10,16,North Carolina,Hillsborough,36.060668,-79.101578,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Private Citizens & Property,Political Party Member/Rally,Republican Party (GOP),Office,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Molotov Cocktail/Petrol Bomb,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201611230062,2016,11,23,New Mexico,Albuquerque,35.083511,-106.586552,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Business,Medical/Pharmaceutical,Project Defending Life,Pro-Life Pregnancy Center,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201611250026,2016,11,25,Washington,Tacoma,47.154901,-122.368098,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,Our Savior Lutheran Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201611280001,2016,11,28,Ohio,Columbus,40.00329,-83.011421,0,1,1,1,0,,0,1,0,Armed Assault,,Private Citizens & Property,Student,Ohio State University,Students,United States,,,,,,,,,,,Jihadi-inspired extremists,,,1,1,0,1,"Posted to website, blog, etc.",Melee,Knife or Other Sharp Object,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,1,0,1,11,11,0,0,,0,,,,,,,,-9,-9,0,-9,1
201612040047,2016,12,4,District of Columbia,Washington,38.955943,-77.069984,0,1,1,1,0,,0,0,0,Armed Assault,,Business,Restaurant/Bar/Café,Comet Ping Pong,Restaurant,United States,,,,,,,,,,,Unknown,,,1,1,1,1,Personal claim,Firearms,Automatic Weapon,Firearms,Handgun,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201612080038,2016,12,7,California,Redlands,34.053546,-117.181537,0,1,1,1,0,,0,1,0,Facility/Infrastructure Attack,,Religious Figures/Institutions,Place of Worship,First Baptist Church,Church,United States,,,,,,,,,,,Unknown,,,0,-99,0,0,,Incendiary,Arson/Fire,,,,,0,0,0,0,0,0,1,Minor (likely < $1 million),0,,,,,,,,-9,-9,0,-9,0
201612150044,2016,12,15,Texas,Dallas,32.776664,-96.796988,0,1,1,1,0,,0,0,0,Assassination,,Journalists & Media,Newspaper Journalist/Staff/Facility,Newsweek,Journalist: Kurt Eichenwald,United States,,,,,,,,,,,Anti-Semitic extremists,,,1,1,1,0,,Other,,,,,,0,0,0,1,1,0,0,,0,,,,,,,,-9,-9,0,-9,0